participant	sent1	sent2	score
participant2	user write software and team does too	user spell software and team does too	5
participant2	survey say recovery and report does too	survey state recovery and report does too	7
participant2	supporter buy ticket and fan does too	supporter bribe ticket and fan does too	5
participant2	child write word and father does too	child spell word and father does too	6
participant2	member accept share and employee does too	member bear share and employee does too	4
participant2	runway run parallel and railroad does too	runway move parallel and railroad does too	5
participant2	producer say favour and judge does too	producer allege favour and judge does too	6
participant2	service meet need and work does too	service visit need and work does too	4
participant2	shareholder accept offer and employee does too	shareholder receive offer and employee does too	7
participant2	employer provide training and firm does too	employer leave training and firm does too	6
participant2	shiver run spine and hand does too	shiver move spine and hand does too	7
participant2	government accept recommendation and commission does too	government bear recommendation and commission does too	6
participant2	court try case and expert does too	court test case and expert does too	6
participant2	woman draw hair and illustration does too	woman depict hair and illustration does too	6
participant2	government accept recommendation and commission does too	government receive recommendation and commission does too	5
participant2	writer write book and association does too	writer spell book and association does too	6
participant2	government provide cash and council does too	government supply cash and council does too	6
participant2	map show area and book does too	map express area and book does too	6
participant2	employee buy property and company does too	employee bribe property and company does too	7
participant2	cinema show film and poster does too	cinema picture film and poster does too	7
participant2	sweat run face and tear does too	sweat operate face and tear does too	7
participant2	management accept responsibility and people does too	management bear responsibility and people does too	7
participant2	company provide service and business does too	company leave service and business does too	4
participant2	parent draw line and man does too	parent attract line and man does too	5
participant2	student write name and pupil does too	student spell name and pupil does too	7
participant2	proposal draw criticism and conference does too	proposal attract criticism and conference does too	6
participant2	people write letter and university does too	people publish letter and university does too	5
participant2	shiver run spine and music does too	shiver move spine and music does too	6
participant2	machine run program and company does too	machine operate program and company does too	3
participant2	male draw female and artist does too	male attract female and artist does too	7
participant2	road run parallel and force does too	road operate parallel and force does too	6
participant2	speaker say word and author does too	speaker state word and author does too	7
participant2	male draw female and artist does too	male depict female and artist does too	6
participant2	government accept proposal and committee does too	government bear proposal and committee does too	6
participant2	court try offence and authority does too	court judge offence and authority does too	4
participant2	child write word and family does too	child spell word and family does too	7
participant2	priest say prayer and man does too	priest allege prayer and man does too	7
participant2	user accept responsibility and woman does too	user receive responsibility and woman does too	7
participant2	scholar write book and commission does too	scholar spell book and commission does too	7
participant2	family provide home and company does too	family leave home and company does too	4
participant2	specialist write Papers and journal does too	specialist publish Papers and journal does too	6
participant2	government accept proposal and document does too	government receive proposal and document does too	4
participant2	man try experiment and researcher does too	man test experiment and researcher does too	6
participant2	proposal draw criticism and conference does too	proposal depict criticism and conference does too	6
participant2	people run company and board does too	people operate company and board does too	3
participant2	user write software and team does too	user publish software and team does too	2
participant2	specialist write Papers and journal does too	specialist spell Papers and journal does too	6
participant2	woman draw hair and illustration does too	woman attract hair and illustration does too	1
participant2	study provide information and source does too	study leave information and source does too	3
participant2	study show correlation and report does too	study picture correlation and report does too	7
participant2	people say success and company does too	people state success and company does too	7
participant2	employer provide training and industry does too	employer leave training and industry does too	6
participant2	magazine accept liability and document does too	magazine receive liability and document does too	7
participant2	cinema show film and office does too	cinema express film and office does too	6
participant2	demonstrator try building and company does too	demonstrator judge building and company does too	7
participant2	people write letter and society does too	people publish letter and society does too	6
participant2	figure show increase and committee does too	figure express increase and committee does too	7
participant2	priest say mass and leader does too	priest allege mass and leader does too	6
participant2	magazine accept liability and cover does too	magazine receive liability and cover does too	7
participant2	user write software and company does too	user spell software and company does too	5
participant2	magazine accept liability and document does too	magazine bear liability and document does too	7
participant2	child show sign and man does too	child picture sign and man does too	5
participant6	survey say recovery and report does too	survey state recovery and report does too	7
participant6	spokesman say decision and official does too	spokesman state decision and official does too	7
participant6	patient accept treatment and player does too	patient bear treatment and player does too	5
participant6	lawyer accept conviction and document does too	lawyer bear conviction and document does too	5
participant6	people write letter and university does too	people publish letter and university does too	5
participant6	justice try king and group does too	justice judge king and group does too	7
participant6	employee buy property and company does too	employee bribe property and company does too	5
participant6	society accept charge and people does too	society receive charge and people does too	5
participant6	lawyer accept conviction and man does too	lawyer receive conviction and man does too	5
participant6	member accept share and staff does too	member bear share and staff does too	4
participant6	scholar write book and commission does too	scholar publish book and commission does too	5
participant6	male draw female and city does too	male depict female and city does too	5
participant6	machine run program and airline does too	machine operate program and airline does too	6
participant6	male draw female and artist does too	male depict female and artist does too	6
participant6	table show result and number does too	table express result and number does too	7
participant6	model buy behaviour and user does too	model purchase behaviour and user does too	5
participant6	people buy house and buyer does too	people purchase house and buyer does too	7
participant6	report draw attention and event does too	report attract attention and event does too	7
participant6	people say success and company does too	people state success and company does too	7
participant6	people buy house and buyer does too	people bribe house and buyer does too	4
participant6	people try Sniffing and user does too	people test Sniffing and user does too	5
participant6	employer provide training and industry does too	employer supply training and industry does too	7
participant6	study provide information and source does too	study leave information and source does too	3
participant6	map show area and photograph does too	map express area and photograph does too	5
participant6	runway run parallel and railroad does too	runway move parallel and railroad does too	5
participant6	shareholder accept offer and employee does too	shareholder receive offer and employee does too	4
participant6	man say sentence and law does too	man state sentence and law does too	7
participant6	court try offence and committee does too	court judge offence and committee does too	7
participant6	poll show support and majority does too	poll picture support and majority does too	5
participant6	man draw sword and artist does too	man attract sword and artist does too	2
participant6	representative meet official and officer does too	representative visit official and officer does too	5
participant6	firm buy politician and government does too	firm bribe politician and government does too	5
participant6	family provide home and group does too	family supply home and group does too	7
participant6	patient accept treatment and family does too	patient receive treatment and family does too	5
participant6	government provide cash and company does too	government leave cash and company does too	6
participant6	table draw eye and site does too	table attract eye and site does too	7
participant6	shiver run spine and music does too	shiver operate spine and music does too	3
participant6	priest say mass and leader does too	priest state mass and leader does too	7
participant6	child write word and family does too	child spell word and family does too	4
participant6	woman draw hair and figure does too	woman depict hair and figure does too	6
participant6	user accept responsibility and woman does too	user receive responsibility and woman does too	5
participant6	user write word and player does too	user publish word and player does too	4
participant6	user write software and team does too	user publish software and team does too	5
participant6	demonstrator try building and university does too	demonstrator test building and university does too	4
participant6	people run company and group does too	people operate company and group does too	6
participant6	proposal draw criticism and school does too	proposal depict criticism and school does too	3
participant6	user write software and team does too	user spell software and team does too	2
participant6	service meet need and work does too	service visit need and work does too	2
participant6	representative meet official and officer does too	representative satisfy official and officer does too	2
participant6	representative meet official and staff does too	representative visit official and staff does too	6
participant6	user accept responsibility and player does too	user bear responsibility and player does too	5
participant6	service meet need and product does too	service satisfy need and product does too	7
participant6	people buy security and corporation does too	people bribe security and corporation does too	5
participant6	cinema show film and poster does too	cinema picture film and poster does too	5
participant6	writer write book and association does too	writer spell book and association does too	3
participant6	sight meet eye and doctor does too	sight satisfy eye and doctor does too	3
participant6	management accept responsibility and people does too	management receive responsibility and people does too	5
participant6	lawyer accept conviction and man does too	lawyer bear conviction and man does too	5
participant6	student meet requirement and applicant does too	student visit requirement and applicant does too	4
participant6	child show sign and patient does too	child express sign and patient does too	6
participant6	man try experiment and study does too	man judge experiment and study does too	5
participant6	poll show support and group does too	poll picture support and group does too	7
participant6	firm buy politician and council does too	firm bribe politician and council does too	5
participant6	people say success and company does too	people allege success and company does too	5
participant6	family run hotel and business does too	family operate hotel and business does too	6
participant6	government provide cash and council does too	government leave cash and council does too	6
participant6	service meet need and product does too	service visit need and product does too	3
participant6	specialist write Papers and journal does too	specialist spell Papers and journal does too	3
